Sample,Taxon,Table,Count
I5P1,Drosophila_simulans,above,1031
I5P1,Lysiphlebus_testaceipes,above,4673
I5P1,Metopolophium_dirhodum,above,423
I5P1,Psyllid_sp,above,2527
I5P1,Rhopalosiphum_padi,above,3302
I5P1,Scaptodrosophila_lativittata,above,708
D5P1,Acizzia_alternata,above,13370
D5P1,Acizzia_solanicola,above,32116
D5P1,Aphidius_colemani,above,82201
D5P1,Bactrocera_tryoni,above,890
D5P1,Bradysia_ocellaris,above,543
D5P1,Carpophilus_davidsoni,above,4694
D5P1,Carpophilus_dimidiatus,above,12383
D5P1,Diuraphis_noxia,above,29
D5P1,Drosophila_hydeii,above,634
D5P1,Drosophila_melanogaster,above,13740
D5P1,Drosophila_simulans,above,1169
D5P1,Lysiphlebus_testaceipes,above,6084
D5P1,Metopolophium_dirhodum,above,50
D5P1,Psyllid_sp,above,2156
D5P1,Rhopalosiphum_padi,above,264
D5P1,Scaptodrosophila_lativittata,above,1525
PCRpool5P1,Acizzia_alternata,above,1082
PCRpool5P1,Acizzia_solanicola,above,18671
PCRpool5P1,Aphidius_colemani,above,96013
PCRpool5P1,Bactrocera_tryoni,above,867
PCRpool5P1,Bradysia_ocellaris,above,1389
PCRpool5P1,Carpophilus_davidsoni,above,16000
PCRpool5P1,Carpophilus_dimidiatus,above,1646
PCRpool5P1,Diuraphis_noxia,above,835
PCRpool5P1,Drosophila_hydeii,above,2092
PCRpool5P1,Drosophila_melanogaster,above,5122
PCRpool5P1,Drosophila_simulans,above,25998
PCRpool5P1,Lysiphlebus_testaceipes,above,18551
PCRpool5P1,Metopolophium_dirhodum,above,1011
PCRpool5P1,Psyllid_sp,above,2666
PCRpool5P1,Rhopalosiphum_padi,above,1680
PCRpool5P1,Scaptodrosophila_lativittata,above,2793
I6P1,Acizzia_alternata,above,2567
I6P1,Acizzia_solanicola,above,470631
I6P1,Aphidius_colemani,above,1967
I6P1,Bactrocera_tryoni,above,16356
I6P1,Bradysia_ocellaris,above,0
I6P1,Carpophilus_davidsoni,above,2960
I6P1,Carpophilus_dimidiatus,above,638
I6P1,Diuraphis_noxia,above,706
I6P1,Drosophila_hydeii,above,1534
I6P1,Drosophila_melanogaster,above,14034
I6P1,Drosophila_simulans,above,1619
I6P1,Lysiphlebus_testaceipes,above,351
I6P1,Metopolophium_dirhodum,above,90
I6P1,Psyllid_sp,above,5206
I6P1,Rhopalosiphum_padi,above,2257
I6P1,Scaptodrosophila_lativittata,above,1436
D6P1,Acizzia_alternata,above,11426
D6P1,Acizzia_solanicola,above,65016
D6P1,Aphidius_colemani,above,6047
D6P1,Bactrocera_tryoni,above,1106
D6P1,Bradysia_ocellaris,above,0
D6P1,Carpophilus_davidsoni,above,5929
D6P1,Carpophilus_dimidiatus,above,8322
D6P1,Diuraphis_noxia,above,25
D6P1,Drosophila_hydeii,above,444
D6P1,Drosophila_melanogaster,above,19943
D6P1,Drosophila_simulans,above,898
D6P1,Lysiphlebus_testaceipes,above,248
D6P1,Metopolophium_dirhodum,above,48
D6P1,Psyllid_sp,above,1553
D6P1,Rhopalosiphum_padi,above,230
D6P1,Scaptodrosophila_lativittata,above,1650
PCRpool6P1,Acizzia_alternata,above,1348
PCRpool6P1,Acizzia_solanicola,above,60770
PCRpool6P1,Aphidius_colemani,above,12121
PCRpool6P1,Bactrocera_tryoni,above,1129
PCRpool6P1,Bradysia_ocellaris,above,0
PCRpool6P1,Carpophilus_davidsoni,above,33693
PCRpool6P1,Carpophilus_dimidiatus,above,1921
PCRpool6P1,Diuraphis_noxia,above,1058
PCRpool6P1,Drosophila_hydeii,above,2238
PCRpool6P1,Drosophila_melanogaster,above,11455
PCRpool6P1,Drosophila_simulans,above,31378
PCRpool6P1,Lysiphlebus_testaceipes,above,1540
PCRpool6P1,Metopolophium_dirhodum,above,1269
PCRpool6P1,Psyllid_sp,above,2897
PCRpool6P1,Rhopalosiphum_padi,above,2353
PCRpool6P1,Scaptodrosophila_lativittata,above,3018
I7P1,Acizzia_alternata,above,2107
I7P1,Acizzia_solanicola,above,488871
I7P1,Aphidius_colemani,above,3583
I7P1,Bactrocera_tryoni,above,5687
I7P1,Bradysia_ocellaris,above,20
I7P1,Carpophilus_davidsoni,above,77
I7P1,Carpophilus_dimidiatus,above,48
I7P1,Diuraphis_noxia,above,45
I7P1,Drosophila_hydeii,above,2027
I7P1,Drosophila_melanogaster,above,32029
I7P1,Drosophila_simulans,above,142
I7P1,Lysiphlebus_testaceipes,above,34
I7P1,Metopolophium_dirhodum,above,148
I7P1,Psyllid_sp,above,3749
I7P1,Rhopalosiphum_padi,above,449
I7P1,Scaptodrosophila_lativittata,above,50
D7P1,Acizzia_alternata,above,15264
D7P1,Acizzia_solanicola,above,108246
D7P1,Aphidius_colemani,above,11312
D7P1,Bactrocera_tryoni,above,863
D7P1,Bradysia_ocellaris,above,526
