Sample,Taxon,Count,Observed,Expected,Num_species
PCRpool5P1,Carpophilus_davidsoni,16000,8.145975888,0.247524752,16
PCRpool5P1,Carpophilus_dimidiatus,1646,0.838017269,0.00990099,16
PCRpool5P1,Diuraphis_noxia,835,0.425118117,0.00990099,16
PCRpool5P1,Drosophila_hydeii,2092,1.065086347,0.00990099,16
PCRpool5P1,Drosophila_melanogaster,5122,2.607730531,0.04950495,16
PCRpool5P1,Drosophila_simulans,25998,13.23619257,0.00990099,16
PCRpool5P1,Lysiphlebus_testaceipes,18551,9.444749919,0.138613861,16
PCRpool5P1,Metopolophium_dirhodum,1011,0.514723851,0.00990099,16
PCRpool5P1,Psyllid_sp,2666,1.357323232,0.00990099,16
PCRpool5P1,Rhopalosiphum_padi,1680,0.855327468,0.00990099,16
PCRpool5P1,Scaptodrosophila_lativittata,2793,1.421981916,0.00990099,16
I6P1,Acizzia_alternata,2567,0.491431066,0.01,15
I6P1,Acizzia_solanicola,470631,90.09843937,0.25,15
I6P1,Aphidius_colemani,1967,0.376565994,0.04,15
I6P1,Bactrocera_tryoni,16356,3.131221858,0.01,15
I6P1,Bradysia_ocellaris,0,0,0,15
I6P1,Carpophilus_davidsoni,2960,0.566667688,0.5,15
I6P1,Carpophilus_dimidiatus,638,0.12213986,0.01,15
I6P1,Diuraphis_noxia,706,0.135157901,0.01,15
I6P1,Drosophila_hydeii,1534,0.2936717,0.01,15
I6P1,Drosophila_melanogaster,14034,2.68669403,0.1,15
I6P1,Drosophila_simulans,1619,0.309944252,0.01,15
I6P1,Lysiphlebus_testaceipes,351,0.067196067,0.01,15
I6P1,Metopolophium_dirhodum,90,0.017229761,0.01,15
I6P1,Psyllid_sp,5206,0.99664594,0.01,15
I6P1,Rhopalosiphum_padi,2257,0.432084112,0.01,15
I6P1,Scaptodrosophila_lativittata,1436,0.274910405,0.01,15
D6P1,Acizzia_alternata,11426,9.298124263,0.01,15
D6P1,Acizzia_solanicola,65016,52.90800342,0.25,15
D6P1,Aphidius_colemani,6047,4.920860968,0.04,15
D6P1,Bactrocera_tryoni,1106,0.900028482,0.01,15
D6P1,Bradysia_ocellaris,0,0,0,15
D6P1,Carpophilus_davidsoni,5929,4.824836229,0.5,15
D6P1,Carpophilus_dimidiatus,8322,6.772185377,0.01,15
D6P1,Diuraphis_noxia,25,0.020344224,0.01,15
D6P1,Drosophila_hydeii,444,0.361313423,0.01,15
D6P1,Drosophila_melanogaster,19943,16.22899459,0.1,15
D6P1,Drosophila_simulans,898,0.730764536,0.01,15
D6P1,Lysiphlebus_testaceipes,248,0.201814705,0.01,15
D6P1,Metopolophium_dirhodum,48,0.039060911,0.01,15
D6P1,Psyllid_sp,1553,1.263783212,0.01,15
D6P1,Rhopalosiphum_padi,230,0.187166863,0.01,15
D6P1,Scaptodrosophila_lativittata,1650,1.342718802,0.01,15
PCRpool6P1,Acizzia_alternata,1348,0.801484054,0.01,15
PCRpool6P1,Acizzia_solanicola,60770,36.13218541,0.25,15
PCRpool6P1,Aphidius_colemani,12121,7.206816182,0.04,15
PCRpool6P1,Bactrocera_tryoni,1129,0.671272623,0.01,15
PCRpool6P1,Bradysia_ocellaris,0,0,0,15
