Sample,Taxon,Observed,Count,Expected,Plate,Barcode,Mixture_type,Num_species,Table
I3P1,Acizzia_solanicola,68.82102584,360755,0.5,1,7,Insects,15,above
I3P1,Aphidius_colemani,0.420455824,2204,0.06,1,7,Insects,15,above
I3P1,Bactrocera_tryoni,1.429435342,7493,0.01,1,7,Insects,15,above
I3P1,Bradysia_ocellaris,0,0,0,1,7,Insects,15,above
I3P1,Carpophilus_davidsoni,0.042541583,223,0.05,1,7,Insects,15,above
I3P1,Carpophilus_dimidiatus,0.03338465,175,0.01,1,7,Insects,15,above
I3P1,Diuraphis_noxia,0.017932326,94,0.01,1,7,Insects,15,above
I3P1,Drosophila_hydeii,0.044067738,231,0.01,1,7,Insects,15,above
I3P1,Drosophila_melanogaster,6.395163613,33523,0.25,1,7,Insects,15,above
I3P1,Drosophila_simulans,1.751835679,9183,0.01,1,7,Insects,15,above
I3P1,Lysiphlebus_testaceipes,0.051698516,271,0.04,1,7,Insects,15,above
I3P1,Metopolophium_dirhodum,0.024418487,128,0.01,1,7,Insects,15,above
I3P1,Psyllid_sp,0.105686264,554,0.01,1,7,Insects,15,above
I3P1,Rhopalosiphum_padi,0.895471706,4694,0.01,1,7,Insects,15,above
I3P1,Scaptodrosophila_lativittata,0.049600052,260,0.01,1,7,Insects,15,above
D3P1,Acizzia_alternata,4.517120526,8906,0.01,1,8,DNA,15,above
D3P1,Acizzia_solanicola,57.31762367,113008,0.5,1,8,DNA,15,above
D3P1,Aphidius_colemani,3.925725676,7740,0.06,1,8,DNA,15,above
D3P1,Bactrocera_tryoni,0.296711824,585,0.01,1,8,DNA,15,above
D3P1,Bradysia_ocellaris,0,0,0,1,8,DNA,15,above
D3P1,Carpophilus_davidsoni,0.284031832,560,0.05,1,8,DNA,15,above
D3P1,Carpophilus_dimidiatus,4.301560653,8481,0.01,1,8,DNA,15,above
D3P1,Diuraphis_noxia,0.008622395,17,0.01,1,8,DNA,15,above
D3P1,Drosophila_hydeii,0.213023874,420,0.01,1,8,DNA,15,above
D3P1,Drosophila_melanogaster,26.89020648,53017,0.25,1,8,DNA,15,above
D3P1,Drosophila_simulans,0.40525256,799,0.01,1,8,DNA,15,above
D3P1,Lysiphlebus_testaceipes,0.548790075,1082,0.04,1,8,DNA,15,above
